clubname,permalink
自治会執行委員会,senju-1-jichikai
新聞委員会,senju-1-shinbun
放送委員会,senju-1-housou
旭祭実行委員会,senju-1-asahi
学生CSIRT委員会,senju-1-csirt
文化部会本部,senju-1-bunka
管弦楽部,senju-1-kangen
ギターアンサンブル部,senju-1-guitar
軽音楽部,senju-1-keion
コーストジャズオーケストラ部,senju-1-coast
フォークミュージックアソシエイション部,senju-1-fma
グリー倶楽部,senju-1-glee
写真部,senju-1-photo
アミューズメント研究部,senju-1-amuse
モダンジャズ研究部,senju-1-modern
漫画研究部,senju-1-manken
お笑いメディア研究部,senju-1-owarai
ダンス部,senju-1-dance
競技麻雀部,senju-1-majan
ボランティア部らいふ,senju-1-volunteer
演劇部『劇団カラクリ』,senju-1-engeki
吹奏楽同好会,senju-1-suisou
将棋部,senju-1-shogi
DJ部,senju-1-dj
マジックサークル部,senju-1-magic
留学生部,senju-1-ryuugaku
e-Sports部,senju-1-espo
空手道部,senju-1-karate
剣道部,senju-1-kendo
少林寺拳法部,senju-1-shorin
硬式野球部,senju-1-kbase
硬式庭球部,senju-1-ktennis
蹴球部,senju-1-soccer
卓球部,senju-1-takkyu
排球部,senju-1-volley
籠球部,senju-1-basket
バドミントン部,senju-1-badminton
洋弓部,senju-1-yokyu
水泳部,senju-1-swim
スキー部,senju-1-ski
自動車部,senju-1-car
サイクリング部,senju-1-cycling
ゴルフ部,senju-1-golf
陸上競技部,senju-1-rikujo
ワンダーフォーゲル部,senju-1-wandervogel
ソフトテニス部,senju-1-stennis
準硬式野球部,senju-1-semikbase
フィギュアスケート部,senju-1-skate
ハンドボール同好会,senju-1-hand
フットサル同好会,senju-1-futsal
アマチュア無線部,senju-1-wireless
オーディオ技術研究部,senju-1-audio
自動制御研究部,senju-1-automatic
ソフトウェア研究部,senju-1-software
鉄道研究部,senju-1-tetudo
電子技術研究部,senju-1-densi
天文学研究部,senju-1-tenmon
エネルギー研究部,senju-1-energy
Voice synthesis Character Lab.部,senju-1-voice
電大ガールズ,senju-1-girls
生協学生委員会,senju-1-coop
二部学生自治会執行委員会,senju-2-jichikai
二部旭祭実行委員会,senju-2-asahi
二部写真部,senju-2-photo
二部テーブルゲーム研究部,senju-2-tablegame
二部FLAME部,senju-2-flame
二部漫画研究部,senju-2-manken
二部アマチュア無線部,senju-2-wireless
二部ソフトウェア研究部,senju-2-software
二部オーディオ部,senju-2-audio
二部バドミントン部,senju-2-badminton
二部サッカー部,senju-2-soccer
二部バスケットボール部,senju-2-basket
二部ワンダーフォーゲル部,senju-2-wandervogel
二部経済・研究同好会 KEYLINK by KK,senju-2-keylink
二部電子技術同好会,senju-2-densi
